Wall time,Step,Value
1524062305.877657,1,0.0068359375
1524062445.94186,301,0.041015625
1524062538.062075,501,0.041015625
1524062584.07205,601,0.0400390625
1524062632.079602,701,0.04443359375
1524062677.555028,801,0.04248046875
1524062723.339253,901,0.0537109375
1524062768.841108,1001,0.0556640625
1524062814.277202,1101,0.05859375
1524062860.413838,1201,0.06982421875
1524063092.039318,1701,0.1259765625
1524063138.182864,1801,0.1533203125
1524063184.006348,1901,0.15771484375
1524063232.278507,2001,0.15576171875
1524063278.293946,2101,0.173828125
1524063324.111514,2201,0.1767578125
1524063370.002417,2301,0.18798828125
1524063415.93761,2401,0.18896484375
1524063461.576121,2501,0.208984375
1524063555.627347,2701,0.220703125
1524063647.252449,2901,0.21728515625
1524063785.651592,3201,0.22021484375
1524063834.143482,3301,0.25048828125
1524063879.965401,3401,0.25048828125
1524063925.728955,3501,0.224609375
1524063971.701405,3601,0.25048828125
1524064017.563903,3701,0.2509765625
1524064063.609241,3801,0.23681640625
1524064111.995715,3901,0.2451171875
1524064157.949182,4001,0.2578125
1524064203.811864,4101,0.26611328125
1524064249.998606,4201,0.27001953125
1524064341.810342,4401,0.26708984375
1524064388.063821,4501,0.25390625
1524064436.57178,4601,0.248046875
1524064482.420429,4701,0.263671875
1524064528.239103,4801,0.2626953125
1524064573.740214,4901,0.25341796875
1524064665.30081,5101,0.27734375
1524064758.863004,5301,0.2626953125
1524064805.025175,5401,0.28564453125
1524064850.892853,5501,0.28173828125
1524064896.733369,5601,0.31103515625
1524064942.584027,5701,0.265625
1524064988.720708,5801,0.27978515625
1524065036.663245,5901,0.2744140625
1524065082.529724,6001,0.267578125
1524065128.179776,6101,0.29541015625
1524065312.910797,6501,0.28271484375
1524065450.621996,6801,0.2783203125
1524065542.0813,7001,0.28466796875
1524065587.567048,7101,0.28515625
1524065635.988872,7201,0.31103515625
1524065681.751623,7301,0.2919921875
1524065773.23386,7501,0.2958984375
1524065864.424436,7701,0.2822265625
1524065912.690826,7801,0.3173828125
1524065958.383231,7901,0.3095703125
1524066049.787627,8101,0.30517578125
1524066095.558012,8201,0.31591796875
1524066141.155064,8301,0.30859375
1524066187.123928,8401,0.30517578125
1524066235.304147,8501,0.2822265625
1524066326.895932,8701,0.31640625
